provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
hospedeiro de,,has host,http://purl.obolibrary.org/obo/RO_0002454
hospedeiro,,has host,http://purl.obolibrary.org/obo/RO_0002454
hospedero,,has host,http://purl.obolibrary.org/obo/RO_0002454
hospederos,,has host,http://purl.obolibrary.org/obo/RO_0002454
hosped,,has host,http://purl.obolibrary.org/obo/RO_0002454
hosperdo por infección experimental,,has host,http://purl.obolibrary.org/obo/RO_0002454
hospes,,has host,http://purl.obolibrary.org/obo/RO_0002454
hosp,,has host,http://purl.obolibrary.org/obo/RO_0002454
host/assoc,,has host,http://purl.obolibrary.org/obo/RO_0002454
host code,,has host,http://purl.obolibrary.org/obo/RO_0002454
host could be,,has host,http://purl.obolibrary.org/obo/RO_0002454
host for,,host of,http://purl.obolibrary.org/obo/RO_0002453
“host”,,has host,http://purl.obolibrary.org/obo/RO_0002454
host,,has host,http://purl.obolibrary.org/obo/RO_0002454
host?,,has host,http://purl.obolibrary.org/obo/RO_0002454
(host of),,host of,http://purl.obolibrary.org/obo/RO_0002453
host of,,host of,http://purl.obolibrary.org/obo/RO_0002453
hostof,,host of,http://purl.obolibrary.org/obo/RO_0002453
host plant,,host of,http://purl.obolibrary.org/obo/RO_0002453
hostplant,,host of,http://purl.obolibrary.org/obo/RO_0002453
host plants,,host of,http://purl.obolibrary.org/obo/RO_0002453
hosts,,has host,http://purl.obolibrary.org/obo/RO_0002454
hosts include,,host of,http://purl.obolibrary.org/obo/RO_0002453
host species,,has host,http://purl.obolibrary.org/obo/RO_0002454
hostspecies,,host of,http://purl.obolibrary.org/obo/RO_0002453
host/substrate,,host of,http://purl.obolibrary.org/obo/RO_0002453
huésped de,,host of,http://purl.obolibrary.org/obo/RO_0002453
huesped,,host of,http://purl.obolibrary.org/obo/RO_0002453
huésped,,host of,http://purl.obolibrary.org/obo/RO_0002453
hyperparasitoid of,,parasitoid of,http://purl.obolibrary.org/obo/RO_0002208
in assoc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
in associatione,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
in association with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
in assoc. with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
infectedby,,parasitized by,http://purl.obolibrary.org/obo/RO_0002445
interacción con,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
interacting taxon,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
interacts with,,interacts with,http://purl.obolibrary.org/obo/RO_0002434
interactswith,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
in vicinity,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
mutualismo,,mutualistically interacts with,http://purl.obolibrary.org/obo/RO_0002442
nearby associates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
nearby plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
nearby plants in area disturbed by trail,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
nearby plants were,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
nearby species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
nearby species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
nearby speciesinclude,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
nest,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
nestling,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
nests in,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
nodricismo,,creates habitat for,http://purl.obolibrary.org/obo/RO_0008505
nodriza,,creates habitat for,http://purl.obolibrary.org/obo/RO_0008505
observedspecies,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
occurring with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
ocurring with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
on same slide,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other associated plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other associated plants include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other associated species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other associated spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other associated vascular plants include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other associates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other common trees,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other companion plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants collected at this location include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants collected at this site include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants collected here,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants collected here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants collected here on this date include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants collected in this habitat include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants in flower included,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other plants of the area include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other salix spp. nearby. also low annuals,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges and rushes collected here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges collected at this location include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges collected at this site include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges collected here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges collected here on this date include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges collected in this habitat include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedge species collected here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges seen in this habitat include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
other sedges seen or collected here include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
